,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
EPOP,False,False,5,0.0028885037,99.71114962449451,5.0,False,0.0017812299111152334,-0.1724367134001156,-1.0068028
AC006449.6,False,False,74,0.04390526,95.72501444251877,76.0,False,0.03855641853136818,0.06507049589450029,-0.42118
AC006449.2,False,False,13,0.00751011,99.24898902368572,13.0,True,0.010745389083073213,0.7076631466619425,1.1632643
MLLT6,False,False,136,0.08434431,92.14326978625073,146.0,False,0.0757308135057015,0.17302865783605986,-0.15498696
AC006449.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CISD3,False,False,397,0.30560368,77.06528018486424,529.0,False,0.21459389880140423,0.04375256085536022,-0.47374377
PCGF2,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0005578737821358892,-0.08681973171493428,-0.79569656
AC006449.5,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
PSMB3,False,False,1141,1.9046794,34.084344309647605,3297.0,False,0.899111745889875,0.36480966561361194,-0.4590164
PIP4K2B,False,False,68,0.03986135,96.07163489312536,69.0,False,0.03664364860575398,0.12412995401480671,-0.27555677
CWC25,False,False,608,0.4621606,64.87579433853263,800.0,False,0.3900162715034818,0.30878129440944635,-0.18470444
C17orf98,False,False,3,0.0017331023,99.8266897746967,3.0,False,0.0011516525488550137,-0.3299778785059485,-1.395253
RPL23,False,True,1676,23.419989,3.1773541305603725,40540.0,False,3.0875083537805,0.5977411903125892,-0.9882989
LASP1,False,False,200,0.13056037,88.44598497978046,226.0,False,0.11396682081875711,0.1707353226184489,-0.16064166
AC006441.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0004067911792055638,-0.40272808832236595,-1.5746336
AC006441.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC00672,False,False,17,0.009820913,99.01790872328135,17.0,False,0.01010929602865948,0.45984233341612507,0.5522111
FBXO47,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.000473134857727116,-0.25161439038786904,-1.2020317
AC006441.4,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02079,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
PLXDC1,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.0007895179219195445,0.26058590453225394,0.060903423
AC091178.2,False,False,4,0.002310803,99.7689196995956,4.0,False,0.0015570711605327582,-0.08698256567124345,-0.79609805
ARL5C,False,False,12,0.00751011,99.30675909878683,13.0,False,0.010162046183627562,0.4793099831708646,0.6002126
AC004408.1,False,False,5,0.0028885037,99.71114962449451,5.0,False,0.0027780775954846476,-0.05003055306477195,-0.7049853
CACNB1,False,False,10,0.0057770074,99.42229924898902,10.0,False,0.006100826956556859,0.1313029919966312,-0.25787017
RPL19,False,True,1703,66.343155,1.6175621028307385,114840.0,False,4.181147108361566,1.1501515363060584,-0.35653225
STAC2,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0006090665322080153,0.0010005703290217299,-0.5791576
FBXL20,False,False,782,0.7718082,54.82380127094165,1336.0,False,0.5338607017429304,0.48803686869436375,0.14688261
AC005288.1,False,False,6,0.0034662045,99.65337954939342,6.0,False,0.004224226539828989,0.6017834975572073,0.9021962
MED1,False,False,329,0.2322357,80.99364529173889,402.0,False,0.1856970242907747,0.3069324468688066,0.17518035
CDK12,False,False,521,0.40323514,69.90179087232814,698.0,False,0.30436555979637386,0.15442616419311808,-0.7550587
AC009283.1,False,False,8,0.004621606,99.53783939919121,8.0,False,0.004733161031766977,0.14484631899369363,-0.22447632
NEUROD2,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.001478510834467029,0.21327824182101499,-0.055743344
AC087491.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0007930153935295568,0.26500769854557527,0.07180626
PPP1R1B,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.00024426763687711154,-0.9128447607901217,-2.832431
STARD3,False,False,332,0.22010398,80.82033506643559,381.0,False,0.1884128458929163,0.1559055650809042,-0.19720747
TCAP,False,False,13,0.00751011,99.24898902368572,13.0,False,0.007767385372077683,0.1820135020361121,-0.13283299
PNMT,False,False,200,0.21663778,88.44598497978046,375.0,False,0.1166018037241551,0.36392792468017715,0.31571442
PGAP3,False,False,76,0.045060657,95.60947429231658,78.0,False,0.0411464129820741,0.2348779043073194,-0.002484938
ERBB2,False,False,20,0.011554015,98.84459849797804,20.0,False,0.0112513970745945,0.17848112141634778,-0.14154279
MIEN1,False,False,668,0.5534373,61.40958983246678,958.0,False,0.38891300682919333,0.10702479825357998,-0.9302105
GRB7,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0009024894522708507,0.3943768941494539,0.3907926
IKZF3,False,False,27,0.01617562,98.44020797227037,28.0,False,0.012302014297338432,0.14586350434684497,-0.22196823
ZPBP2,False,False,2,0.0011554015,99.8844598497978,2.0,False,0.001555244943774754,0.25763023024938475,0.0536156
GSDMB,False,False,16,0.009243212,99.07567879838244,16.0,False,0.010927620687863647,0.2589717263158634,0.056923334
ORMDL3,False,False,85,0.05199307,95.0895436164067,90.0,False,0.04292886340855587,0.11847216905848518,-0.2895072
AC090844.2,False,False,15,0.008665511,99.13344887348353,15.0,False,0.012090867081367352,0.4266690123569955,0.47041547
LRRC3C,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
GSDMA,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.0004995408370157903,-0.19729234070351487,-1.0680895
PSMD3,False,False,669,0.586944,61.351819757365675,1016.0,False,0.3989430802813029,0.1791219577044794,-0.66380584
AC090844.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
CSF3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
MED24,False,False,139,0.093587525,91.96995956094743,162.0,False,0.07165467364831851,0.052728296211221215,-0.45161223
THRA,False,False,155,0.10283073,91.04563835932986,178.0,False,0.07659185919720625,0.039757997283304404,-0.48359317
NR1D1,False,False,9,0.0057770074,99.48006932409012,10.0,False,0.003978718396994082,0.02346948045367161,-0.52375585
MSL1,False,False,142,0.093587525,91.79664933564413,162.0,False,0.07148337644040267,0.1475869135954185,-0.21771881
CASC3,False,False,281,0.18428653,83.76660889659156,319.0,False,0.15939124223208184,0.30665031981716445,0.1744847
